Name,Email,Password,Role
S5cDpp,o1L95F@test.com,zFyR1gBfY5,Faculty
QN1qL4,AbavwI@test.com,5rJMwj41k8,Faculty
Xe8hUu,SyZTwJ@test.com,3YNHzBNVP4,Faculty
hiy6gf,apx7e3@test.com,FXaY8G6UZq,Student
MBsnHj,M5cqCO@test.com,J7O2xfOZ8e,Student
yCWOVy,mSp5ym@test.com,EXRYvdsWXB,Student
zE3ceg,XaoLWs@test.com,ZIGjaVe4CG,Student
vlzJMC,VObF5Z@test.com,6wrGCdm5Xk,Student
dzNXHd,cE1QSP@test.com,GxGHvIJXoC,Student
mNBAGK,c1Hts8@test.com,qLoF8XX3V1,Faculty
5IAhwp,zEnhhR@test.com,ZugxDd0hkv,Student
2efW7E,amIpzz@test.com,9PLWsWfbmV,Student
HU6sCr,6RR8Cr@test.com,45Fqu3oO4s,Student
CdaKi8,10WFiv@test.com,v7ZrokYwMh,Faculty
NFk1vg,UExqDP@test.com,UMmJNG6DEs,Student
